Name	Type		Ranged	Air	LAttack	AAttack	Range	Defense	Shift
Bison	Tank		false	false	50	0 	1	40	6
Charlie	Infantry	false	false	10	10 	1	4	4
Kilroy	Infantry	false	false	40	10 	1	10	2
Panther Infantry        false   false   10      10      1       8       9
Hadrian	Ranged		true	false	45	0 	5	30	4
Polar	Tank		false	false	60	0 	1	60	4
Grizzly	Tank		false	false	70	0	1	50	4
Seeker	Antiair		false	false	30	65	1	30	6
Slagger	Tank		false	false	50	0	1	50	7
Eagle	Air		false	true	70	20	1	30	10
Lenet   Tank            false   false   45      0       1       30      5
Titan   Tank            false   false   60      0       1       5       5
Giant   Tank            false   false   90      40      1       80      2
Falcon  Air             false   true    0       90      1       30      12
Hunter  Air             false   true    70      70      1       50      11
Atlas   Artillery       true    false   90      0       6       20      0
Trigger Mine            false   false   0       0       0       80      0
Octopus Ranged          true    false   60      0       4       30      4
Hawkeye Antiair         true    false   0       85      5       30      5
Lynx    Buggy           true    false   40      10      2       20      6
Rabbit  Buggy           false   false   70      10      1       20      8
